根据给出的SPO三元组和相关信息，我们可以推断出孫武最可以發揮才能却离开的國家是齊國。以下是推斷的過程：

1. [孫武兩孫臏]：這表明孫武和孫臏是兩個人，並且有著某種聯繫。
2. [孫武編輯孫武?孫臏的遺著]：這表明孫武可能參與了編輯孫臏的遺著。
3. [孫武跑到江蘇省]：這表明孫武後來到了江蘇省。
4. [孫武求仕於闔閭]：這表明孫武在江蘇省向吳王闔閭求取官職。
5. [孫武離開齊國]：這表明孫武之前在齊國，並且選擇了離開。
6. [孫武遠去吳國]：這表明孫武去了吳國，即江蘇省。
7. [孫武是吳人]：這表明孫武在吳國（江蘇省）有著一定的身份。
8. [孫武春秋春秋時代]：這表明孫武生活在春秋時代。
9. [孫武行为史记]：這表明有關孫武的行為被記載在史書中。
10. [孫武著有孫子兵法]：這表明孫武寫作了《孫子兵法》。

綜合以上信息，可以得出結論：孫武雖然是吳人，但在春秋時代卻在齊國出生並成長，他在齊國掌握了豐富的軍事知識和戰略思想，這些後來在他的著作《孫子兵法》中得到體現。然而，由於某些原因（可能是政治上的不滿或者希望尋求更好的發展機會），他選擇了離開齊國，前往吳國（江蘇省）。在吳國，他得到了吳王闔閭的賞識，並得以施展他的軍事才能。因此，孫武最可以發揮才能卻離開的國家是齊國。
